Títulos;Activo;Precio;Cantidad
8,44;GVC Gaesco Japón A FI;11,85;100,00
8,86679843;GVC Gaesco Bolsalíder A FI;11,28;100,00
5,330524;Baskepensiones renta fija a corto EPSV;7,25;38,63
8,68;GVC Gaesco Japón A FI;11,52;100,00
6,74;GVC Gaesco 300 Places Worldwide;14,84;100,00
9,19979442;GVC Gaesco Bolsalíder A FI;10,87;100,00
8,34;GVC Gaesco Japón A FI;11,99;100,00
7,08;GVC Gaesco 300 Places Worldwide;14,12;100,00
9,26709911;GVC Gaesco Bolsalíder A FI;10,79;100,00
8,44;GVC Gaesco Japón A FI;11,85;100,00
7,74;GVC Gaesco 300 Places Worldwide;12,92;100,00
9,49060691;GVC Gaesco Bolsalíder A FI;10,54;100,00
8,02;GVC Gaesco 300 Places Worldwide;12,47;100,00
9,58012889;GVC Gaesco Bolsalíder A FI;10,44;100,00
8,62;GVC Gaesco Japón A FI;11,60;100,00
8,36;GVC Gaesco Japón A FI;11,96;100,00
7,12;GVC Gaesco 300 Places Worldwide;14,04;100,00
9,183207;GVC Gaesco Bolsalíder A FI;10,89;100,00
7,22;GVC Gaesco 300 Places Worldwide;13,85;100,00
8,62;GVC Gaesco Japón A FI;11,60;100,00
9,22580882;GVC Gaesco Bolsalíder A FI;10,84;100,00
3.360,12;GVC Gaesco Renta Fija Flexible;10,42;35.000,00
8,98237116;GVC Gaesco Bolsalíder A FI;11,13;100,00
7,02;GVC Gaesco 300 Places Worldwide;14,25;100,00
8,7;GVC Gaesco Japón A FI;11,49;100,00
8,38;GVC Gaesco Japón A FI;11,93;100,00
7,18;GVC Gaesco 300 Places Worldwide;13,93;100,00
9,61815651;GVC Gaesco Bolsalíder A FI;10,40;100,00
7,16;GVC Gaesco 300 Places Worldwide;13,97;100,00
9,8195007;GVC Gaesco Bolsalíder A FI;10,18;100,00
7,3;GVC Gaesco 300 Places Worldwide;13,70;100,00
9,98327329;GVC Gaesco Bolsalíder A FI;10,02;100,00
7,66;GVC Gaesco 300 Places Worldwide;13,05;100,00
9,94517904;GVC Gaesco Bolsalíder A FI;10,06;100,00
7,46;GVC Gaesco 300 Places Worldwide;13,40;100,00
9,93811299;GVC Gaesco Bolsalíder A FI;10,06;100,00
5,378944;Baskepensiones renta fija a corto EPSV;6,97;37,47
8,06;GVC Gaesco 300 Places Worldwide;12,41;100,00
10,40771915;GVC Gaesco Bolsalíder A FI;9,61;100,00
8,42;GVC Gaesco 300 Places Worldwide;11,88;100,00
